,job_title,company,skills,date_posted,Location
11,Software Engineer,"Jazz, Islamabad , Pakistan","MySQL, Backend Development, API Development, Restful APIs, Windows Server Administration, Nagios, AWS, Linux Administration, Communication Skills, Performance Tuning, ELK Stack, Google Cloud, Zabbix, Datadog, Node.js, Problem-Solving, Azure, Time Management, Debugging, DevOps collaboration, Angular (preferred), React (preferred), Cloud Environments, Flutter (preferred), AI-driven monitoring (preferred), Automated testing (preferred), DevSecOps (preferred)",2025-08-25,"Islamabad , Pakistan"
12,Software Engineer,"Lloyds Technology Centre, All Cities , Pakistan","Change Management, Communication Skills, Analytical Skills, Team Collaboration, Data Management Systems, Knowledge Management Systems, Risk Management Principles, Software Engineering, Supplier management processes, Designing test procedures, Coaching and support, Supervision of junior team members",2025-08-12,"All Cities , Pakistan"
13,Software Support Engineer,"MD. SHAHIDULLAH, Lahore , Pakistan","HTML5, CSS3, Java Script",2025-08-31,"Lahore , Pakistan"
14,Associate Software Engineer,"SoftOrbix, Lahore , Pakistan","Django, HTML, Selenium, Cloud, Server",2025-08-25,"Lahore , Pakistan"
15,Senior Software Engineer,"RGX LABS, Lahore , Pakistan","MySQL, Java Script, React Js, React Native",2025-08-25,"Lahore , Pakistan"
16,Senior Software Engineer,"Lloyds Technology Centre, All Cities , Pakistan","Change Management, Knowledge Management, PRODUCT SPECIFICATIONS, Software Development Processes, Agile Delivery, Risk Management, Team Management, testing standards, Technical Delivery, Problem Analysis, Leadership, Software Engineering, IT security principles",2025-08-30,"All Cities , Pakistan"
17,Senior Software Engineer – Code Review,"Space Cats, All Cities , Pakistan","Executing Content, HTTPS Conflict, React Js, Node Js, RESTful Api",2025-08-27,"All Cities , Pakistan"
18,AI Software Engineer,"Computerized AI, Islamabad , Pakistan","MySQL, APIs, React, Node",2025-08-20,"Islamabad , Pakistan"
19,Associate Software Engineer,"Dubizzle Labs, Lahore , Pakistan","Object-oriented programming, MVC Frameworks, Web Architecture, Database Fundamentals, JavaScript",2025-08-22,"Lahore , Pakistan"
20,Registered Nurse / Nursing Staff,"Human Healthcare, Karachi , Pakistan","Communication Skills, Coordination Skills, Mobile EMR Apps, WhatsApp For Updates",2025-09-01,"Karachi , Pakistan"
21,Registered Nurse / Nursing Staff,"Human Healthcare, Karachi , Pakistan","Team Building, Patient Counseling, Communication Skills, Computer Technologies Knowledge, Greeting Patients, Committed to Professionalism, Direct Patient Care, EMR Training, Patient Communication Skills",2025-09-02,"Karachi , Pakistan"
22,Registered Nurse,"Confidential, Islamabad , Pakistan","Patient Counseling, Communication Skills, Analytical Skills, Time Management, Floor Management, Critical Incident Stress Management, Quality Patient Care, Emerging Infectious Diseases, Coordination Skills",2025-08-05,"Islamabad , Pakistan"
23,Registered Nurse (RN) - Cath Lab,"Patel Hospital, Karachi , Pakistan","Documentation, Clinical Assessment, Medication Administration, Patient Education, Cardiac Care, Cardiac Monitoring, Communication, Collaboration with healthcare professionals, cardiac catheterization procedures, patient sedation management, operating intra-aortic balloon pumps, handling physiological recorders and printers",2025-08-10,"Karachi , Pakistan"
24,Staff Nurse,"Chiniot General Hospital, All Cities , Pakistan","Collaboration, Infection Control, Nursing Care, Medication Administration, Patient Education, Patient Monitoring, Interpersonal Skills, Communication, Patient Record Keeping, Registered Nurse (RN) license",2025-08-24,"All Cities , Pakistan"
25,Marketing Manager,"Elegance Fabrics, Lahore , Pakistan","Presentation Skills, Brand Management, Marketing Management",2025-08-31,"Lahore , Pakistan"
26,Marketing Manager,"Advance Visa Solution Pvt Ltd, Lahore , Pakistan","Presentation Skills, Brand Management, Marketing Management, Brand Advertising, Vendor Relations Management",2025-08-12,"Lahore , Pakistan"
27,Area Sales / Marketing Manager,"Kangaroo Publications, Lahore , Pakistan","Communication Skills, After Sales Service, Books Marketing",2025-09-02,"Lahore , Pakistan"
28,Marketing Manager / Paid Ads Strategist,"Team Ficient SMC Private Limited, All Cities , Pakistan","Marketing Strategies, Google Ads Planning, Content Writing Skills",2025-09-04,"All Cities , Pakistan"
29,Assistant Marketing Manager,"Professional Employers (Pvt) Ltd, Lahore , Pakistan","Event Marketing Strategies, Presentation Skills, Brand Management, Marketing Management, Marketing Email Writing, Brand Advertising, Vendor Relations Management",2025-09-03,"Lahore , Pakistan"
30,Marketing Manager,"SeekSol, Gujranwala , Pakistan","B2B Business Development, Marketing Management, Marketing Strategies, Business Development Process",2025-08-18,"Gujranwala , Pakistan"
31,Marketing Manager,"Sachi Chakki Khidmat, Lahore , Pakistan","eCommerce  Knowledge, Retail Branding, Social Media Strategy",2025-08-28,"Lahore , Pakistan"
32,Marketing Manager ( LinkedIn Marketing & Digital Marketing ),"MEETING MATTERS CLINIC, All Cities , Pakistan","Marketing Management, Campaign Development, Copywriting, Analytics, Deadline Management, LinkedIn Marketing, Brand Visibility, Paid Advertising, Digital Marketing, Lead Generation, Communication, Content Creation, data-driven insights, Strategic Planning",2025-08-22,"All Cities , Pakistan"
33,Marketing Manager,"Linkspace Digital Marketing, Islamabad , Pakistan","Fluent in English, Convincing People, Must Be Follow-up",2025-08-17,"Islamabad , Pakistan"
34,Marketing Manager,"Revival International School System, Islamabad , Pakistan","Marketing Strategy Development, Team Collaboration, Market Trend Analysis, Traditional Marketing, Digital Marketing, Interpersonal Skills, Communication, Campaign coordination",2025-08-18,"Islamabad , Pakistan"
35,Marketing Manager,"Multynet, All Cities , Pakistan","Marketing Strategies, Cross-functional Team Coordination, Digital Marketing Campaigns, Market Research, marketing performance analysis, Production of marketing materials",2025-08-13,"All Cities , Pakistan"
36,Marketing Manager,"Australian Concept Infertility Medical Center, Lahore , Pakistan","Relationship Building, Marketing Strategies, Communication Skills, Content Management Systems, Analytics Tools, Creativity, Organizational Skills, Time Management, Digital Marketing Platforms, Healthcare or Pharmaceutical marketing",2025-08-17,"Lahore , Pakistan"
37,Marketing Manager,"Manufacturing Industry Sector, Karachi , Pakistan","Coordination Abilities, Brand Management, Email Campaigns, Content Strategy, LinkedIn Ads, Traditional Marketing, Search Console, Google Ads, Digital Marketing, Social Media Marketing, Marketing ROI analysis, Paid Media Strategies, Meta Business Suite, SEO, Time Management, communication skills in English and Urdu, CRM Platforms, Marketing Automation, Google Analytics, Multi-channel Campaigns, Customer success stories",2025-08-06,"Karachi , Pakistan"
38,Digital Marketing Manager,"Farm On recruitment, All Cities , Pakistan","Marketing Strategies, Web Analytics, Brand Awareness, Social Media Marketing Campaigns, Lead Generation, Digital Marketing Strategies, engagement driving",2025-08-25,"All Cities , Pakistan"
39,Marketing Manager,"Pavago, All Cities , Pakistan","SEMRush, Data Analysis, Brand Management, Performance Analysis, Screaming Frog, Jasper, Ahrefs, Lead Nurturing, Google Ads, Organic Growth, Email Marketing, Digital Marketing, Social Media Marketing, Customer Acquisition, A/B Testing, Copy.ai, GA4, SEO, Meta Ads, Social Media Strategy, HubSpot CRM, Campaign Analytics, Content Creation, Paid Media, Creative Storytelling, Marketing Automation, AI Tools (ChatGPT, influencer partnerships, Lifecycle marketing, Midjourney), luxury marketing",2025-08-05,"All Cities , Pakistan"
40,Marketing Manager,"Australian Concept Infertility Medical Center, Multan , Pakistan","Marketing Strategies, Verbal and Written Communication, Content Management Systems, Analytics Tools, Creative Thinking, Organizational and Time Management Skills, Digital Marketing Platforms, Teamwork, Flexibility, Pharmaceutical or Healthcare industry experience, Marketing principles and techniques",2025-08-16,"Multan , Pakistan"
41,Marketing Manager,"MEETING MATTERS CLINIC, All Cities , Pakistan","Mailchimp, Communication Skills, Analytical Skills, Budget Administration, Advertising Campaigns, HubSpot, SEO/SEM, Marketing Campaigns Management, Digital Marketing Strategies, Project Management, Content Creation, Google Analytics",2025-08-10,"All Cities , Pakistan"
42,Marketing Manager,"Multinet, All Cities , Pakistan","Marketing Strategy Development, Budget Management, Analytical Skills, Promotional campaign management, Interpersonal Abilities, SEO, Communication, Project Coordination, Marketing collateral creation",2025-08-07,"All Cities , Pakistan"
43,Digital Marketing Manager,"Solvefy, Lahore , Pakistan","Strategic Marketing, Brand Identity, Brand Positioning, Company Branding, Communication",2025-08-13,"Lahore , Pakistan"
44,Performance Marketing Manager,"Next Degree Product, Multiple Cities , Pakistan","Marketing Management, Marketing Strategies, Account Marketing",2025-09-04,"Multiple Cities , Pakistan"
45,Financial Analyst,"Multi Services Company, Hyderabad , Pakistan",Not Specified,2025-08-14,"Hyderabad , Pakistan"
46,Financial Analyst,"Renowned Brand, All Cities , Pakistan","Variance Analysis, Forecasting, Budget Preparation, Cost Optimization, Financial Data Analysis, Financial Reporting, Compliance with Financial Regulations, Investment feasibility analysis",2025-08-12,"All Cities , Pakistan"
47,Financial Data Analyst,"Sidd Tech, Lahore , Pakistan","Communication Skills, Analytical Skills, Time Management",2025-09-02,"Lahore , Pakistan"
48,Financial Planning Analyst,"Innovadel Technologies, All Cities , Pakistan","Risk Assessment, Presentation Skills, Financial Planning, Financial Modeling, Cost Optimization, Financial Data Analysis, Budget Management, Financial Forecasting, Analytical Skills, Revenue Growth, Problem-Solving, industry-specific financial analysis, financial modeling and forecasting tools",2025-08-23,"All Cities , Pakistan"
49,Financial Planning Analyst,"Hanif Rajput, All Cities , Pakistan","Presentation Skills, Budgeting, Financial Planning, Forecasting, Financial Modeling, Business Analysis, Analytical Abilities, Business Intelligence (BI) Tools, Advanced Excel",2025-08-20,"All Cities , Pakistan"
50,Junior Financial Analyst,"WEBDOC, Rawalpindi , Pakistan","Bookkeeping, Accounting, Quickbooks management, basic auditing procedures",2025-08-19,"Rawalpindi , Pakistan"
51,P2P Financial Analyst,"Fresenius Medical Care, All Cities , Pakistan","Process Improvements, Communication Skills, CLERICAL SUPPORT, Accounting transactions, Country, PowerPoint), Customer-oriented approach, company policy adherence, Company Culture, WORD, Service level agreement compliance, Operating procedures development, Business English (oral and written), Knowledge of Service Recipient’s language, PC proficiency including Microsoft Office (Excel, Accuracy and deadline management, Moderate proficiency in intermediate complexity, Ability to work with moderate supervision, Familiarity with client language, operating standards",2025-08-29,"All Cities , Pakistan"
52,Financial Planning and Analysis Analyst,"Daraz, Karachi , Pakistan","LAN, UTP",2025-09-03,"Karachi , Pakistan"
53,Assistant Financial Research Analyst,"HG Markets Pvt, Lahore , Pakistan","Financial Analysis, Technical Analysis, Commodities, Stocks, Economic Data Analysis, Report Preparation and presentation, Market Research, International financial and derivatives markets, and currencies market analysis, Knowledge of Pakistan Stock Exchange (PSX) and, Training and lecturing on financial market, Understanding of fiscal and monetary policies",2025-08-08,"Lahore , Pakistan"
54,Financial Analyst,"Contour Software, Karachi , Pakistan",Not Specified,2024-10-29,"Karachi , Pakistan"
55,Senior Financial Analyst,"Contour Software, Lahore , Pakistan",Not Specified,2024-10-29,"Lahore , Pakistan"
56,Commercial Finance Analyst,"Mondelēz International, Dubai , Pakistan","Financial Modeling, Business Acumen, Continuous Improvement, Collaboration, Financial Reporting and Analysis, Leadership And Communication, Finance planning and performance management, Data integrity and controls, Financial analysis and data structuring, Use of technology for operational efficiency",2025-08-30,"Dubai , Pakistan"
57,Finance Analyst,"FrieslandCampina, All Cities , Pakistan","Forecasting, Budget Management, Analytical Skills, Finance business partnering, Communication and Presentation Skills, Cross-Functional Leadership, Accruals management, Business intelligence platforms, Commercial or sales environment experience, Revenue growth management strategies, Commercial rigor frameworks, Collaboration with global finance and ICT teams, Automated financial tools development and",2025-08-06,"All Cities , Pakistan"
58,Finance Graduates required as Insider Transactions Research Analyst,"2iQ-Lahore, Lahore , Pakistan","Financial Data Analysis, Analytical Skills, Data Validation, Data Curation, Attention to Detail, SEC Filings Knowledge",2025-08-15,"Lahore , Pakistan"
59,Senior FP&A Analyst,"Careem, Karachi , Pakistan","Corporate Finance, Variance Analysis, Financial Modeling, Microsoft Dynamics, Stakeholder Management, Business Analytics, FINANCIAL PLANNING & ANALYSIS (FP&A), Scenario Planning, Excel, ERP Software, Communication, Strategic Financial Modeling, Oracle, ERP or FP&A software such as Oracle or Microsoft",2025-08-19,"Karachi , Pakistan"
60,Senior FP&A Analyst,"Careem, Karachi , Pakistan","Corporate Finance, Variance Analysis, Financial Modeling, Microsoft Dynamics, Communication Skills, Business Analytics, Stakeholder Engagement, FINANCIAL PLANNING & ANALYSIS (FP&A), Scenario Planning, Reporting, Excel, ERP Software, Oracle, Handling large datasets, ERP or FP&A software (Oracle, Microsoft Dynamics) - advantageous",2025-08-26,"Karachi , Pakistan"
61,Senior FP&A Analyst,"Careem, Karachi , Pakistan","Corporate Finance, Financial Modeling, Microsoft Dynamics, Communication Skills, Business Analytics, FINANCIAL PLANNING & ANALYSIS (FP&A), Excel, Team Player, ERP Software, Attention to Detail, Oracle, Stakeholder orientation, ERP or FP&A software (Oracle or Microsoft",2025-08-21,"Karachi , Pakistan"
62,Senior FP&A Analyst,"Careem, Karachi , Pakistan","Corporate Finance, Financial Modeling, Microsoft Dynamics, Communication Skills, Analytical Skills, Business Analytics, FINANCIAL PLANNING & ANALYSIS (FP&A), Business Insight, Excel, ERP Software, Collaboration and Stakeholder Engagement, Advanced Excel, Attention to Detail, Oracle, Microsoft Dynamics), ERP or FP&A software (Oracle",2025-09-04,"Karachi , Pakistan"
63,Senior FP&A Analyst,"Careem, Karachi , Pakistan","Corporate Finance, Financial Modeling, Microsoft Dynamics, Communication Skills, Analytical Skills, Business Analytics, FINANCIAL PLANNING & ANALYSIS (FP&A), Excel, ERP Software, Attention to Detail, Oracle, Data synthesis, Stakeholder orientation, ERP or FP&A software (Oracle, Microsoft Dynamics - advantageous)",2025-08-25,"Karachi , Pakistan"
64,Senior FP&A Analyst,"Careem, Karachi , Pakistan","Corporate Finance, Financial Modeling, Microsoft Dynamics, Business Acumen, Communication Skills, Analytical Skills, Business Analytics, FINANCIAL PLANNING & ANALYSIS (FP&A), Excel, Collaborative Mindset, ERP Software, Attention to Detail, Oracle, Stakeholder orientation, Handling large data sets, ERP/FP&A software (Oracle or Microsoft Dynamics)",2025-09-03,"Karachi , Pakistan"
65,Graphic Designer,"Blackloom Studios, All Cities , Pakistan","Graphic Design, Motivated, Creative",2025-09-03,"All Cities , Pakistan"
66,Graphic Designer / Video Editor,"Estate 166, Islamabad , Pakistan",Not Specified,2025-09-03,"Islamabad , Pakistan"
67,Graphic Designer,"Leaders Sports, Sialkot , Pakistan",Not Specified,2025-09-03,"Sialkot , Pakistan"
68,Graphic Designer,"PunjabOptics, Lahore , Pakistan","Marketing Skills, Communication Skills, Motion Graphic Designs",2025-08-28,"Lahore , Pakistan"
69,Graphic Designer,"RSF Soft, Lahore , Pakistan","Graphics Command, Info Graphics, 2D Graphics",2025-09-02,"Lahore , Pakistan"
70,Graphic Designer,"Leaders Sports, Sialkot , Pakistan","Coral Draw, Adobe Photoshop, Adobe Illustrator",2025-09-04,"Sialkot , Pakistan"
71,Graphic Designer,"Chameleon Brands Logo, Faisalabad , Pakistan","Graphic Design, Logo Design, Collaboration, Typography, Branding Materials, Visual Consistency, Project deadline management",2025-09-03,"Faisalabad , Pakistan"
72,Graphic Designer,"AP Traders Pvt Ltd, Rawalpindi , Pakistan","Adobe Photoshop, MS Office, Canva",2025-09-02,"Rawalpindi , Pakistan"
73,Graphic Designer - Intern,"The iBOS, Karachi , Pakistan","Adobe After Effects, Video Animation, Graphics Command",2025-08-29,"Karachi , Pakistan"
74,Graphic Designer - Vehicle Wraps,"Horizon Tech, Karachi , Pakistan","Vehicle Wraps, Adobe Illustrator, Vehicle Designs",2025-08-30,"Karachi , Pakistan"
75,Graphic Designer,"S&R Enterprise, Lahore , Pakistan","Marketing Strategies, Image Editing, 2D Graphics",2025-08-30,"Lahore , Pakistan"
76,Graphic Designer,"RSF Soft, Lahore , Pakistan","Graphics Command, Info Graphics, 2D Graphics",2025-08-27,"Lahore , Pakistan"
77,Graphic Designer,"Hex Business, Multan , Pakistan","Graphic Design, Logo Design, Brand Development, Visual Design, Marketing Collateral, Website Design",2025-08-29,"Multan , Pakistan"
78,Graphic Designer - Intern,"EigenSol, Lahore , Pakistan","أدوبي برو, Wire frames, Figma",2025-08-23,"Lahore , Pakistan"
79,Graphic Designer,"ATCONNECTS, Faisalabad , Pakistan","Color Theory, Design Principles, Layout Aesthetics, Graphic Design Software, Adobe Photoshop, Communication, Teamwork, Adobe Illustrator",2025-08-31,"Faisalabad , Pakistan"
80,Graphic Designer,"Paragon City (Pvt.) Ltd, Lahore , Pakistan","Logo Design, Graphics Design, Graphics Command, Graphics Software  Command, Info Graphics, Graphic Arts",2025-08-31,"Lahore , Pakistan"
81,Graphic Designer,"Germination, Sialkot , Pakistan","Coral Draw, Adobe Photoshop, Adobe Illustrator",2025-08-26,"Sialkot , Pakistan"
82,Graphic Designer - Intern,"Mars Multimedia (Pvt) Ltd., Lahore , Pakistan","Adobe Creative Suite, CorelDRAW, أدوبي برو, Adobe Photoshop",2025-08-06,"Lahore , Pakistan"
83,Graphic Designer,"RSF Soft, Lahore , Pakistan","Graphics Command, Info Graphics, 2D Graphics",2025-08-25,"Lahore , Pakistan"
84,Graphic Designer,"IT Forless, Rawalpindi , Pakistan",Not Specified,2025-08-19,"Rawalpindi , Pakistan"
85,Admin Manager,"One Machine Software, All Cities , Pakistan","Communication Skills, Administrative Management, Legal Compliance, Accident Reporting and Investigation, WORD), Organizational Skills, MS Office suite (Excel, Team Leadership, Liaising with police and legal authorities, Operational process streamlining",2025-08-13,"All Cities , Pakistan"
86,HR & Labour Supervisor,"Fulcrum Pvt, Karachi , Pakistan","Documentation, Attendance Management, Communication Skills, Labour Law Compliance, Employee Discipline, Recruitment And Hiring, Payroll Processing, Problem-Solving Skills, Police Verification, HR Operations, Labour workforce management, EOBI and SESSI compliance, Coordination with government agencies, Employee welfare supervision, Workforce training and safety protocols",2025-08-23,"Karachi , Pakistan"
87,Cook / Chef,"Work Together, Islamabad , Pakistan","Italian Cuisine, Asian Cuisine, International Cuisines, BBQ",2025-08-27,"Islamabad , Pakistan"
88,Chef - Fast Food,"TE Connectivity, Dunyapur , Pakistan","Food Safety, Hygiene Management, Sauce Making",2025-08-27,"Dunyapur , Pakistan"
89,Chef,"Tosta Pakistan, Lahore , Pakistan",Not Specified,2025-08-21,"Lahore , Pakistan"
90,Chef,"GEM Business Solutions, Lahore , Pakistan","oogle Ads Planning, Communication Skills, Hygiene Management",2025-08-20,"Lahore , Pakistan"
91,Chef,"Bitezilla, Islamabad , Pakistan","Fast Food Knowledge, Burgers Making, Recipe Testing, Beef",2025-08-15,"Islamabad , Pakistan"
92,Chef,"Techland Trading Est, Amman , Jordan","Collections Handling, Food Safty, Manage Kitchen, Traditional Pakistani Dishes",2025-08-17,"Amman , Jordan"
93,Chef,"YAP PVT, Lahore , Pakistan","Italian Cuisine, Menu Planning, Independent Work, Pakistani Cuisine, Food Presentation, Chinese Cuisine, Kitchen Hygiene, Supply Management",2025-08-18,"Lahore , Pakistan"
94,Chef / Cook,"SMC Living Pvt, All Cities , Pakistan","Cooking Skills, ability to work independently and in a team, Food safety standards compliance, Following recipes accurately, Ingredient quality monitoring, Kitchen workflow management",2025-08-07,"All Cities , Pakistan"
95,Head Chef,"Cheese Cheese, All Cities , Pakistan","Communication Skills, Supplier Relationship Management, Budgeting and Cost Control, Kitchen Management, Menu Development, organizational and time-management skills, Inventory Management, Food Safety and Sanitation, Ability To Work Under Pressure, Team Leadership, Creativity in food innovation",2025-08-08,"All Cities , Pakistan"
96,Head Professional Chef,"Brewlava, All Cities , Pakistan","Food Preparation, Salads, Soups, Steaks, Sandwiches, Burgers, Organizational Skills, Communication, Breakfast Dishes, Teamwork, pasta, paninis, kitchen safety standards",2025-08-24,"All Cities , Pakistan"
97,Chef/Canteen Supervisor,"HRSG Outsourcing PvtLtd, Karachi , Pakistan","Food Preparation, Health And Safety Compliance, Inventory Management, Customer Service, Kitchen operations management, Hygiene and quality standards, Staff leadership and training, Kitchen and canteen organization",2025-08-06,"Karachi , Pakistan"
98,OCEAN - Chef de Cuisine,"Viking, All Cities , Pakistan","Hospitality, Passion for excellence, Stress Resistance, Empowering Team, Focus, Team Leadership, Flexibility",2025-08-12,"All Cities , Pakistan"
99,Site Reliability Engineer,"Nobl Q, Hyderabad , Pakistan","GITHUB, Microsoft Azure, Configuration Management, GO, Jenkins, CI/CD, Terraform, Artifactory, Prometheus, Google Cloud Platform (GCP), Infrastructure as Code, Cloud Migration, Helm, Technical Documentation, CHEF, Cloud Automation, Github Actions, Stackdriver, Azure Monitor, Python, ServiceNow, Java, JIRA",2025-08-09,"Hyderabad , Pakistan"
100,Managed File Transfer (MFT) Engineer,"Broadridge, All Cities , Pakistan","Windows Operating System, Shell Scripting, Splunk, Unix Operating System, Sterling file gateway, HTTPS, AWS Cloud, FTPS, Perl Scripting, Git), CHEF, Python, FTP, Sterling B2B Integrator, Sterling Secure Proxy, Automation, Managed File Transfer tools and engineering, IBM Managed File Transfer suite, Connect:Direct, Sterling External Authentication Server, Unix commands, File transfer protocols (SFTP, PGP encryption), DevOps tools (Terraform, Sterling Control Center, AXWAY",2025-08-14,"All Cities , Pakistan"
101,Civil Engineer,"Jazac Group of Companies, Lahore , Pakistan","Engineering Drawings, Civil Design Knowledge, Civil Procedures, Structural Engineering, Civil Drafting Knowledge, Engineering Analysis, Architectural Engineering, Civil Affairs Handling, Building Engineering, Civil Supervision",2025-09-01,"Lahore , Pakistan"
102,Civil Engineer,"Carryfor Pharmaceutical Pvt ltd, Karachi , Pakistan","Civil Design Knowledge, Civil Drafting Knowledge, Civil Supervision",2025-08-23,"Karachi , Pakistan"
103,Civil Engineer,"Confidential, Lahore , Pakistan","Structural Analysis, AutoCad, Project Management",2025-08-25,"Lahore , Pakistan"
104,Civil Engineer - Intern,"G4S Digital Solution, Lahore , Pakistan","AutoCAD 2D, Autocad 3D Command, Plan Swift",2025-08-20,"Lahore , Pakistan"
105,Civil Engineer,"Al-Shifa Trust Eye Hospital, Lahore , Pakistan","Civil Design Knowledge, Construction Cost Control, Construction Budgeting",2025-08-16,"Lahore , Pakistan"
106,Civil Engineer,"MEFCON Enterprises (Pvt.) Ltd., Rawalpindi , Pakistan","Civil Design Knowledge, Civil Drafting Knowledge, Digital Project Management, MS Excel",2025-08-13,"Rawalpindi , Pakistan"
107,Civil Engineer,"S Zia Ul Haq Sons Pvt, Karachi , Pakistan",Not Specified,2025-08-12,"Karachi , Pakistan"
108,Civil Engineer,"AEG Consulting, All Cities , Pakistan","Construction Project Management, Communication Skills, Report Preparation, Site Inspections, Team Collaboration, Problem-Solving",2025-08-08,"All Cities , Pakistan"
109,Junior Civil Engineer,"Mirabella Ventures Pvt Ltd, Islamabad , Pakistan","Civil Supervistion, Civil Design Knowledge, Structural Engineering",2025-08-28,"Islamabad , Pakistan"
110,Civil Engineer,"Dost Solutions, All Cities , Pakistan","MicroStation, Project Coordination and Management, Excellent Time Management, AutoCAD Civil 3d, Excellent Communication Skills, Strong Analytical and Critical Thinking Skills, Leadership Abilities, Extensive industry knowledge in civil engineering, Strong expertise in mathematics and physics, Creativity and innovation in engineering, Proficiency with Autodesk, Knowledge of map creation and photo imaging, High accuracy in calculations and design work",2025-08-08,"All Cities , Pakistan"
111,Civil Structural Engineer,"Shaheen Steel Industries, Quetta , Pakistan",Not Specified,2025-08-22,"Quetta , Pakistan"
112,Civil Engineer,"Falaknaz Group, All Cities , Pakistan","Strong technical knowledge, Effective Communication, Problem-Solving, Leadership Capabilities, Proficiency In AutoCAD, Quality Assurance and Compliance, Hands-on experience in managing large-scale, Planning and designing construction projects, Supervising construction activities, Preparing Bills of Quantities (BOQs), Project reporting and technical documentation, Coordination with architects and contractors, Mentorship and team leadership, Knowledge of design principles and structural, Modern construction practices, Proficiency in MS Project",2025-08-18,"All Cities , Pakistan"
113,Associate Civil Engineer,"Dastgir Engineering Co., Multiple Cities , Pakistan","Communication Skills, معرفة رياضية قوية, Civil Supervision",2025-08-15,"Multiple Cities , Pakistan"
114,Site Civil Engineer,"Jammy Constructors Pvt Ltd, Karachi , Pakistan","Civil Supervistion, Engineering Drawings, Civil Design Knowledge, Structural Engineering, Site Development, Construction Site Management, Site Administration",2025-08-06,"Karachi , Pakistan"
115,Junior Civil Engineer,"Ansaar Management Company (Pvt) Limited, Sanghar , Pakistan","BOQ, Contract Negotiation, Construction Site Management",2025-08-13,"Sanghar , Pakistan"
116,Site Engineer (Civil),"Delta Gulf, All Cities , Pakistan","Construction Drawings, Reporting, MS Excel, Civil Construction Projects, AutoCad, Communication, quality assurance procedures, Construction safety standards, Site execution management, BOQ interpretation, MS Project or Primavera (advantageous)",2025-08-05,"All Cities , Pakistan"
117,Civil Project Engineer,"Corporate Panorama, All Cities , Pakistan","Quality Control, Change Management, Cost Estimation, Project Planning, Budget Monitoring, Project Execution, Communication Skills, Subcontractor Management, Proficient in Word, Client Service skills, Problem-Solving, Risk Management, Flexibility and Adaptability, Proficient In Excel, Reporting, Proficient In Outlook, Planning and Organizing, Customer Service, Time Management, Safety Culture Promotion, proficient in powerpoint, Attention to Detail, Teamwork, Project Coordination, Schedule monitoring, Procurement and vendor coordination, Submittals and transmittals management, RFI process management, Productivity monitoring, Contract understanding, Proficient in Procore",2025-08-25,"All Cities , Pakistan"
118,Civil Design Engineer/Wet Utilities,"Engineerio Tech, All Cities , Pakistan","SewerGEMS, WaterGEMS, Communication Skills, Analytical Skills, Flowmaster, Team Collaboration, Sewerage System Design, water supply system Design, Problem-Solving, MS Office, Civil 3D, Wet utilities Design, Stormwater drainage design, Irrigation network design",2025-08-21,"All Cities , Pakistan"
119,Civil Engineer/Director Golf Course (Construction Industry),"Fulcrum Pvt, Karachi , Pakistan","Decision-making, Site Supervision, Problem-Solving, PRIMAVERA, Civil Construction Projects, AutoCad, Communication, Project Management, Leadership, Coordination, technical execution, Golf Course Construction",2025-08-31,"Karachi , Pakistan"
