CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12579,73,3,-13.799999999999999,2,2,1,5,Returned/Churned
12580,246,1,19.799999999999997,1,1,2,4,At Risk
12581,39,1,8.5,3,1,1,5,Potential Customers
12582,238,2,23.799999999999997,1,2,2,5,Potential Customers
12583,2,18,534.81,4,4,4,12,Champions
12584,3,18,-21.199999999999996,4,4,1,9,Returned/Churned
12585,234,4,66.83,1,3,3,7,Loyal Customers
12586,17,2,7.960000000000001,3,2,1,6,Potential Customers
12587,7,1,20.8,4,1,2,7,Loyal Customers
12588,39,1,32.849999999999994,3,1,2,6,Potential Customers
12589,28,2,27.4,3,2,2,7,Loyal Customers
12590,190,3,759.16,1,2,4,7,Loyal Customers
12591,317,1,15.299999999999999,1,1,2,4,At Risk
12592,92,2,42.0,2,2,3,7,Loyal Customers
12593,108,3,52.8,2,2,3,7,Loyal Customers
12594,37,11,350.28000000000003,3,4,4,11,Champions
12596,51,2,76.74,2,2,3,7,Loyal Customers
12597,19,5,113.05,3,3,4,10,Champions
12598,9,9,178.48,4,4,4,12,Champions
12599,29,7,206.08,3,4,4,11,Champions
12600,28,11,271.2,3,4,4,11,Champions
12601,189,6,170.70000000000002,1,4,4,9,Loyal Customers
12602,58,1,23.9,2,1,2,5,Potential Customers
12603,21,1,613.1999999999999,3,1,4,8,Loyal Customers
12604,79,2,45.300000000000004,2,2,3,7,Loyal Customers
12605,365,1,-1.65,1,1,1,3,Returned/Churned
12607,58,2,9.799999999999997,2,2,1,5,Potential Customers
12609,78,3,49.56,2,2,3,7,Loyal Customers
12610,22,7,234.09999999999997,3,4,4,11,Champions
12611,52,1,15.9,2,1,2,5,Potential Customers
12612,57,2,50.75,2,2,3,7,Loyal Customers
12613,31,6,96.63000000000001,3,4,3,10,Champions
12614,277,1,9.95,1,1,1,3,At Risk
12615,2,4,235.04,4,3,4,11,Champions
12616,85,5,-22.85,2,3,1,6,Returned/Churned
12617,29,1,25.0,3,1,2,6,Potential Customers
12618,21,1,15.0,3,1,1,5,Potential Customers
12619,16,13,520.5,4,4,4,12,Champions
12620,14,3,48.3,4,2,3,9,Loyal Customers
12621,1,23,581.98,4,4,4,12,Champions
12622,232,1,20.8,1,1,2,4,At Risk
12623,276,1,15.6,1,1,2,4,At Risk
12624,106,2,25.5,2,2,2,6,Potential Customers
12625,211,3,81.8,1,2,3,6,Potential Customers
12626,23,13,93.26,3,4,3,10,Champions
12627,10,7,201.97,4,4,4,12,Champions
12628,4,4,45.94,4,3,3,10,Champions
12630,9,2,53.10000000000001,4,2,3,9,Loyal Customers
12631,57,1,19.8,2,1,2,5,Potential Customers
12633,58,5,226.88,2,3,4,9,Loyal Customers
12635,89,2,27.36,2,2,2,6,Potential Customers
12637,67,10,155.42,2,4,4,10,Champions
12638,33,1,9.36,3,1,1,5,Potential Customers
12639,238,1,15.0,1,1,1,3,At Risk
12640,23,3,63.18,3,2,3,8,Loyal Customers
12641,115,1,14.850000000000001,2,1,1,4,At Risk
12642,25,3,136.3,3,2,4,9,Loyal Customers
12643,128,6,237.36,2,4,4,10,Champions
12644,129,1,17.4,2,1,2,5,Potential Customers
12645,33,5,146.70000000000002,3,3,4,10,Champions
12646,4,2,66.84,4,2,3,9,Loyal Customers
12647,22,13,407.33,3,4,4,11,Champions
12648,154,1,10.2,1,1,1,3,At Risk
12649,107,4,94.2,2,3,3,8,Loyal Customers
12650,3,1,4.68,4,1,1,6,Potential Customers
12651,334,1,7.800000000000001,1,1,1,3,At Risk
12652,322,2,8.95,1,2,1,4,At Risk
12653,148,2,50.4,1,2,3,6,Potential Customers
12654,10,5,75.1,4,3,3,10,Champions
12656,17,8,121.49,3,4,4,11,Champions
12657,11,5,81.9,4,3,3,10,Champions
12658,18,1,13.200000000000001,3,1,1,5,Potential Customers
12659,29,1,15.0,3,1,1,5,Potential Customers
12660,11,1,19.799999999999997,4,1,2,7,Loyal Customers
12662,0,12,189.8,4,4,4,12,Champions
12664,8,10,1761.6,4,4,4,12,Champions
12665,324,2,28.75,1,2,2,5,Potential Customers
12666,359,1,-91.44,1,1,1,3,Returned/Churned
12667,58,1,14.850000000000001,2,1,1,4,At Risk
12668,7,6,57.71000000000001,4,4,3,11,Champions
12669,150,4,34.0,1,3,2,6,Potential Customers
12670,10,6,278.49,4,4,4,12,Champions
12672,329,1,19.5,1,1,2,4,At Risk
12673,5,2,11.049999999999999,4,2,1,7,Loyal Customers
12674,11,7,199.88,4,4,4,12,Champions
12676,24,6,229.59,3,4,4,11,Champions
12678,42,13,2491.54,3,4,4,11,Champions
12679,52,9,179.42000000000002,2,4,4,10,Champions
12680,0,4,65.16,4,3,3,10,Champions
12681,14,27,653.46,4,4,4,12,Champions
12682,3,31,1258.94,4,4,4,12,Champions
12683,4,20,410.84000000000003,4,4,4,12,Champions
12684,7,7,181.68,4,4,4,12,Champions
12685,28,6,142.82,3,4,4,11,Champions
12686,371,1,17.4,1,1,2,4,At Risk
12688,113,1,75.0,2,1,3,6,Potential Customers
12689,25,2,49.599999999999994,3,2,3,8,Loyal Customers
12690,205,1,24.96,1,1,2,4,At Risk
12691,28,6,383.4,3,4,4,11,Champions
12693,120,6,50.69,2,4,3,9,Loyal Customers
12694,70,2,20.28,2,2,2,6,Potential Customers
12695,7,4,102.65,4,3,3,10,Champions
12697,21,5,156.28,3,3,4,10,Champions
12700,7,6,-6.0,4,4,1,9,Returned/Churned
12701,79,2,32.4,2,2,2,6,Potential Customers
12702,19,1,25.200000000000003,3,1,2,6,Potential Customers
12703,64,2,-2.0500000000000016,2,2,1,5,Returned/Churned
12704,7,10,195.77999999999997,4,4,4,12,Champions
12705,15,14,208.39000000000001,4,4,4,12,Champions
12707,291,1,12.600000000000001,1,1,1,3,At Risk
12708,29,16,147.25,3,4,4,11,Champions
12709,3,26,445.41,4,4,4,12,Champions
12710,96,4,26.58,2,3,2,7,Loyal Customers
12712,22,17,504.25000000000006,3,4,4,11,Champions
12713,0,1,54.0,4,1,3,8,Loyal Customers
12714,9,5,72.08,4,3,3,10,Champions
12715,106,1,12.5,2,1,1,4,At Risk
12716,3,2,28.8,4,2,2,8,Loyal Customers
12717,151,3,-20.0,1,2,1,4,Returned/Churned
12718,71,1,9.36,2,1,1,4,At Risk
12719,5,3,12.499999999999998,4,2,1,7,Loyal Customers
12720,2,29,426.56,4,4,4,12,Champions
12721,31,7,105.15,3,4,3,10,Champions
12722,85,6,27.21,2,4,2,8,Loyal Customers
12723,3,5,70.17,4,3,3,10,Champions
12724,5,4,85.84,4,3,3,10,Champions
12725,371,1,15.0,1,1,1,3,At Risk
12726,28,7,173.1,3,4,4,11,Champions
12727,10,9,145.0,4,4,4,12,Champions
12728,71,4,83.59,2,3,3,8,Loyal Customers
12729,113,1,25.200000000000003,2,1,2,5,Potential Customers
12731,23,14,1321.26,3,4,4,11,Champions
12732,179,1,33.2,1,1,2,4,At Risk
12733,234,1,27.650000000000002,1,1,2,4,At Risk
12734,352,1,8.4,1,1,1,3,At Risk
12735,315,2,62.15,1,2,3,6,Potential Customers
12736,332,1,90.0,1,1,3,5,Potential Customers
12738,372,1,17.4,1,1,2,4,At Risk
12739,78,2,57.3,2,2,3,7,Loyal Customers
12740,63,1,13.200000000000001,2,1,1,4,At Risk
12743,134,2,18.25,2,2,2,6,Potential Customers
12744,51,10,284.46000000000004,2,4,4,10,Champions
12747,2,11,689.49,4,4,4,12,Champions
12748,0,224,627.1600000000001,4,4,4,12,Champions
12749,3,8,62.25,4,4,3,11,Champions
12750,128,1,15.0,2,1,1,4,At Risk
12752,81,1,15.9,2,1,2,5,Potential Customers
12753,3,11,799.3199999999999,4,4,4,12,Champions
12754,235,5,63.83999999999999,1,3,3,7,Loyal Customers
12755,249,4,2191.6,1,3,4,8,Loyal Customers
12756,86,1,61.199999999999996,2,1,3,6,Potential Customers
12757,15,19,230.30000000000004,4,4,4,12,Champions
12758,116,2,90.06,2,2,3,7,Loyal Customers
12759,52,3,54.6,2,2,3,7,Loyal Customers
12762,7,2,35.599999999999994,4,2,2,8,Loyal Customers
12763,138,2,102.3,2,2,3,7,Loyal Customers
12764,316,1,17.4,1,1,2,4,At Risk
12766,3,7,148.56,4,4,4,12,Champions
12769,238,1,175.2,1,1,4,6,Potential Customers
12770,210,1,69.12,1,1,3,5,Potential Customers
12772,59,1,6.8,2,1,1,4,At Risk
12775,17,6,82.6,3,4,3,10,Champions
12778,19,7,89.10000000000001,3,4,3,10,Champions
12779,21,12,253.84,3,4,4,11,Champions
12781,21,5,-5.530000000000001,3,3,1,7,Returned/Churned
12782,4,6,106.08,4,4,3,11,Champions
12783,2,8,32.34000000000002,4,4,2,10,Champions
12784,9,2,76.8,4,2,3,9,Loyal Customers
12785,2,2,10.26,4,2,1,7,Loyal Customers
12787,9,3,124.2,4,2,4,10,Champions
12789,65,1,39.95,2,1,3,6,Potential Customers
12790,192,1,10.08,1,1,1,3,At Risk
12791,373,1,177.60000000000002,1,1,4,6,Potential Customers
12792,256,1,15.0,1,1,1,3,At Risk
12793,334,2,50.7,1,2,3,6,Potential Customers
12794,53,2,20.279999999999998,2,2,2,6,Potential Customers
12795,18,1,15.0,3,1,1,5,Potential Customers
12797,360,3,-14.850000000000001,1,2,1,4,Returned/Churned
12798,10,3,5885.52,4,2,4,10,Champions
12802,183,2,-2.0,1,2,1,4,Returned/Churned
12808,36,3,42.599999999999994,3,2,3,8,Loyal Customers
12809,168,2,12.750000000000004,1,2,1,4,At Risk
12811,260,3,58.5,1,2,3,6,Potential Customers
12812,44,1,10.2,3,1,1,5,Potential Customers
12814,101,1,85.92,2,1,3,6,Potential Customers
12815,147,2,35.25,1,2,2,5,Potential Customers
12816,95,2,35.550000000000004,2,2,2,6,Potential Customers
12817,281,1,39.599999999999994,1,1,3,5,Potential Customers
12818,178,2,299.45000000000005,1,2,4,7,Loyal Customers
12820,3,4,58.2,4,3,3,10,Champions
12821,214,1,19.92,1,1,2,4,At Risk
12822,70,3,0.9000000000000004,2,2,1,5,Potential Customers
12823,74,5,1759.5,2,3,4,9,Loyal Customers
12824,59,1,5.04,2,1,1,4,At Risk
12826,2,8,119.5,4,4,4,12,Champions
12827,5,3,84.21000000000001,4,2,3,9,Loyal Customers
12828,2,6,154.8,4,4,4,12,Champions
12829,322,3,55.85000000000001,1,2,3,6,Potential Customers
12830,37,7,1723.68,3,4,4,11,Champions
12831,262,1,34.199999999999996,1,1,2,4,At Risk
12832,32,2,19.9,3,2,2,7,Loyal Customers
12833,145,1,15.0,1,1,1,3,At Risk
12834,282,1,15.9,1,1,2,4,At Risk
12836,59,4,29.05,2,3,2,7,Loyal Customers
12837,173,1,17.0,1,1,2,4,At Risk
12838,33,2,11.4,3,2,1,6,Potential Customers
12839,2,16,226.11,4,4,4,12,Champions
12840,143,6,127.75,2,4,4,10,Champions
12841,4,26,327.06,4,4,4,12,Champions
12842,70,2,22.8,2,2,2,6,Potential Customers
12843,65,9,119.3,2,4,4,10,Champions
12844,29,2,8.7,3,2,1,6,Potential Customers
12845,267,4,284.79999999999995,1,3,4,8,Loyal Customers
12847,22,1,1.17,3,1,1,5,Potential Customers
12849,31,2,44.699999999999996,3,2,3,8,Loyal Customers
12851,96,1,4.16,2,1,1,4,At Risk
12852,290,2,14.45,1,2,1,4,At Risk
12853,107,9,171.60000000000002,2,4,4,10,Champions
12854,78,5,141.6,2,3,4,9,Loyal Customers
12855,372,1,17.700000000000003,1,1,2,4,At Risk
12856,7,8,29.28,4,4,2,10,Champions
12857,210,2,53.400000000000006,1,2,3,6,Potential Customers
12863,52,2,323.0,2,2,4,8,Loyal Customers
12864,138,1,17.4,2,1,2,5,Potential Customers
12865,26,3,20.38,3,2,2,7,Loyal Customers
12866,283,1,6.3,1,1,1,3,At Risk
12867,26,10,43.04,3,4,3,10,Champions
12868,185,6,123.95,1,4,4,9,Loyal Customers
12870,366,1,-9.95,1,1,1,3,Returned/Churned
12871,84,2,178.2,2,2,4,8,Loyal Customers
12872,326,2,50.0,1,2,3,6,Potential Customers
12873,282,1,68.0,1,1,3,5,Potential Customers
12875,143,2,343.2300000000001,2,2,4,8,Loyal Customers
12876,57,2,86.49999999999999,2,2,3,7,Loyal Customers
12877,3,12,365.79,4,4,4,12,Champions
12878,18,3,36.75,3,2,2,7,Loyal Customers
12879,44,4,189.76999999999998,3,3,4,10,Champions
12881,275,1,195.0,1,1,4,6,Potential Customers
12882,9,2,283.2,4,2,4,10,Champions
12883,24,4,71.85,3,3,3,9,Loyal Customers
12884,88,1,170.0,2,1,4,7,Loyal Customers
12885,63,4,26.450000000000003,2,3,2,7,Loyal Customers
12886,67,3,31.009999999999998,2,2,2,6,Potential Customers
12888,214,4,66.21000000000001,1,3,3,7,Loyal Customers
12890,24,1,10.5,3,1,1,5,Potential Customers
12891,185,3,331.0,1,2,4,7,Loyal Customers
12893,30,1,3.75,3,1,1,5,Potential Customers
12895,42,3,17.8,3,2,2,7,Loyal Customers
12897,204,2,116.0,1,2,4,7,Loyal Customers
12901,8,36,8240.210000000001,4,4,4,12,Champions
12902,264,1,17.700000000000003,1,1,2,4,At Risk
12904,18,2,11.899999999999999,3,2,1,6,Potential Customers
12906,11,5,206.76,4,3,4,11,Champions
12908,58,4,246.0,2,3,4,9,Loyal Customers
12909,39,8,96.79,3,4,3,10,Champions
12910,23,8,362.76,3,4,4,11,Champions
12912,2,5,365.34000000000003,4,3,4,11,Champions
12913,4,5,410.76000000000005,4,3,4,11,Champions
12915,148,2,38.4,1,2,2,5,Potential Customers
12916,138,5,176.9,2,3,4,9,Loyal Customers
12917,128,1,297.0,2,1,4,7,Loyal Customers
12919,8,8,233.64999999999998,4,4,4,12,Champions
12920,17,1,7.95,3,1,1,5,Potential Customers
12921,3,50,927.26,4,4,4,12,Champions
12922,161,1,13.2,1,1,1,3,At Risk
12923,64,1,12.48,2,1,1,4,At Risk
12924,88,5,162.87000000000003,2,3,4,9,Loyal Customers
12925,4,2,25.5,4,2,2,8,Loyal Customers
12928,35,5,127.04,3,3,4,10,Champions
12929,122,2,4.25,2,2,1,5,Potential Customers
12930,78,4,19.299999999999997,2,3,2,7,Loyal Customers
12931,21,20,2859.26,3,4,4,11,Champions
12933,24,4,57.05,3,3,3,9,Loyal Customers
12935,2,8,101.78,4,4,3,11,Champions
12936,17,5,113.14000000000001,3,3,4,10,Champions
12937,15,4,37.95,4,3,2,9,Loyal Customers
12938,25,1,9.48,3,1,1,5,Potential Customers
12939,64,8,1820.96,2,4,4,10,Champions
12940,46,4,9.100000000000001,3,3,1,7,Loyal Customers
12942,131,3,41.25,2,2,3,7,Loyal Customers
12943,301,1,-3.75,1,1,1,3,Returned/Churned
12944,35,2,39.699999999999996,3,2,3,8,Loyal Customers
12945,288,1,25.5,1,1,2,4,At Risk
12947,143,11,57.349999999999994,2,4,3,9,Loyal Customers
12948,16,8,200.4,4,4,4,12,Champions
12949,30,10,95.21000000000001,3,4,3,10,Champions
12950,2,3,143.4,4,2,4,10,Champions
12951,8,8,79.04,4,4,3,11,Champions
12952,5,5,66.36,4,3,3,10,Champions
12953,9,1,35.400000000000006,4,1,2,7,Loyal Customers
12955,1,14,257.03999999999996,4,4,4,12,Champions
12956,306,1,3.75,1,1,1,3,At Risk
12957,4,12,97.01,4,4,3,11,Champions
12962,7,2,37.650000000000006,4,2,2,8,Loyal Customers
12963,8,9,169.55,4,4,4,12,Champions
12965,89,1,8.25,2,1,1,4,At Risk
12966,9,1,15.0,4,1,1,6,Potential Customers
12967,3,4,62.75,4,3,3,10,Champions
12968,112,1,15.0,2,1,1,4,At Risk
12970,7,4,25.05,4,3,2,9,Loyal Customers
12971,3,89,3692.71,4,4,4,12,Champions
12974,197,1,15.9,1,1,2,4,At Risk
12976,211,1,19.8,1,1,2,4,At Risk
12977,156,1,8.5,1,1,1,3,At Risk
12980,155,12,2852.4,1,4,4,9,Loyal Customers
12981,29,2,54.48,3,2,3,8,Loyal Customers
12982,239,2,8.450000000000001,1,2,1,4,At Risk
12984,18,1,30.0,3,1,2,6,Potential Customers
12985,0,3,46.32000000000001,4,2,3,9,Loyal Customers
12987,73,3,31.45,2,2,2,6,Potential Customers
12988,292,1,4.25,1,1,1,3,At Risk
12989,3,19,3276.81,4,4,4,12,Champions
12990,31,3,120.9,3,2,4,9,Loyal Customers
12991,23,2,65.0,3,2,3,8,Loyal Customers
12993,23,4,64.15,3,3,3,9,Loyal Customers
12994,4,5,42.55,4,3,3,10,Champions
12995,77,2,30.740000000000002,2,2,2,6,Potential Customers
12997,22,7,83.78,3,4,3,10,Champions
12999,196,3,107.03999999999999,1,2,3,6,Potential Customers
13000,106,3,107.07000000000001,2,2,3,7,Loyal Customers
13001,4,15,887.37,4,4,4,12,Champions
13002,318,1,15.0,1,1,1,3,At Risk
13003,105,3,98.5,2,3,3,8,Loyal Customers
13004,11,22,218.56,4,4,4,12,Champions
13005,173,3,32.349999999999994,1,3,2,6,Potential Customers
13006,56,1,31.8,2,1,2,5,Potential Customers
13008,323,2,-36.0,1,2,1,4,Returned/Churned
13011,372,1,15.0,1,1,1,3,At Risk
13012,9,11,110.37,4,4,4,12,Champions
13013,1,15,251.5,4,4,4,12,Champions
13014,2,16,404.49999999999994,4,4,4,12,Champions
13015,53,5,113.7,2,3,4,9,Loyal Customers
13016,73,3,64.56,2,3,3,8,Loyal Customers
13017,7,1,204.0,4,1,4,9,Loyal Customers
13018,16,29,547.43,4,4,4,12,Champions
13021,4,12,200.32000000000002,4,4,4,12,Champions
13023,64,2,47.7,2,2,3,7,Loyal Customers
13026,1,8,205.34999999999997,4,4,4,12,Champions
13027,113,6,1632.0,2,4,4,10,Champions
13028,22,3,28.889999999999997,3,3,2,8,Loyal Customers
13029,30,3,1131.0,3,3,4,10,Champions
13030,11,2,6.6899999999999995,4,2,1,7,Loyal Customers
