InvoiceNo,Quantity,InvoiceDate,UnitPrice,CustomerID,TotalPrice
536747,25,2010-12-02 13:44:00,0.42,17802,10.5
536748,12,2010-12-02 13:45:00,0.85,15107,10.2
536749,1,2010-12-02 13:49:00,3.75,17976,3.75
536750,12,2010-12-02 14:04:00,2.55,17850,30.599999999999998
536751,6,2010-12-02 14:05:00,1.85,17850,11.100000000000001
536752,6,2010-12-02 14:06:00,2.55,17850,15.299999999999999
536753,6,2010-12-02 14:07:00,1.85,17850,11.100000000000001
536754,2,2010-12-02 14:09:00,1.25,14449,2.5
C536757,-9360,2010-12-02 14:23:00,0.03,15838,-280.8
C536758,-1,2010-12-02 14:25:00,2.1,13767,-2.1
536759,4,2010-12-02 14:26:00,7.95,16781,31.8
C536760,-1,2010-12-02 14:29:00,2.95,17547,-2.95
536761,3,2010-12-02 14:30:00,4.95,13491,14.850000000000001
536762,12,2010-12-02 14:40:00,1.25,16186,15.0
536763,120,2010-12-02 14:42:00,1.45,17685,174.0
536769,4,2010-12-02 14:47:00,9.95,17581,39.8
536771,12,2010-12-02 14:49:00,1.49,17581,17.88
536777,24,2010-12-02 15:00:00,0.65,15732,15.600000000000001
536778,16,2010-12-02 15:03:00,0.85,13138,13.6
536779,1,2010-12-02 15:08:00,15.0,15823,15.0
536781,24,2010-12-02 15:14:00,2.1,17460,50.400000000000006
536782,3,2010-12-02 15:18:00,4.95,17567,14.850000000000001
536783,60,2010-12-02 15:19:00,0.36,15061,21.599999999999998
536784,24,2010-12-02 15:20:00,1.25,15061,30.0
536785,216,2010-12-02 15:22:00,1.06,15061,228.96
536786,96,2010-12-02 15:23:00,1.25,15061,120.0
536787,6,2010-12-02 15:24:00,2.55,17850,15.299999999999999
536788,60,2010-12-02 15:25:00,1.25,15061,75.0
536789,6,2010-12-02 15:25:00,1.85,17850,11.100000000000001
536790,12,2010-12-02 15:26:00,2.95,17850,35.400000000000006
536791,12,2010-12-02 15:27:00,1.85,17850,22.200000000000003
536792,24,2010-12-02 15:28:00,1.25,15061,30.0
536793,4,2010-12-02 15:39:00,3.75,16203,15.0
536794,24,2010-12-02 15:40:00,2.1,13767,50.400000000000006
536795,40,2010-12-02 15:40:00,2.55,15640,102.0
536796,1,2010-12-02 15:46:00,4.25,15574,4.25
536797,4,2010-12-02 15:49:00,3.75,16770,15.0
536798,1,2010-12-02 15:55:00,5.95,17838,5.95
536799,3,2010-12-02 16:00:00,1.95,17228,5.85
536800,6,2010-12-02 16:12:00,4.25,14829,25.5
536802,10,2010-12-02 16:29:00,1.65,17412,16.5
536803,6,2010-12-02 16:33:00,3.75,14911,22.5
536804,24,2010-12-02 16:34:00,3.39,14031,81.36
536805,24,2010-12-02 16:38:00,0.85,14775,20.4
536806,36,2010-12-02 16:42:00,0.42,12971,15.12
C536807,-2,2010-12-02 16:45:00,9.95,15834,-19.9
536808,1,2010-12-02 16:46:00,12.75,17659,12.75
536809,1824,2010-12-02 16:48:00,0.55,15299,1003.2
536810,204,2010-12-02 16:50:00,1.49,15299,303.96
536811,69,2010-12-02 16:51:00,7.65,15299,527.85
C536812,-36,2010-12-02 16:58:00,0.85,16546,-30.599999999999998
536813,6,2010-12-02 16:59:00,2.95,15646,17.700000000000003
C536814,-2,2010-12-02 17:03:00,7.95,13958,-15.9
C536815,-1,2010-12-02 17:05:00,0.42,14443,-0.42
C536816,-2,2010-12-02 17:06:00,6.95,14443,-13.9
C536817,-1,2010-12-02 17:08:00,4.25,14156,-4.25
C536818,-1,2010-12-02 17:09:00,1.25,16995,-1.25
536819,3,2010-12-02 17:12:00,5.95,13402,17.85
C536820,-1,2010-12-02 17:14:00,1.95,18168,-1.95
536821,1,2010-12-02 17:17:00,1.95,17757,1.95
C536822,-2,2010-12-02 17:19:00,16.95,14625,-33.9
536823,4,2010-12-02 17:22:00,3.75,13011,15.0
536824,160,2010-12-02 17:24:00,2.55,13798,408.0
C536825,-1,2010-12-02 17:27:00,4.95,15384,-4.95
C536826,-2,2010-12-02 17:30:00,4.65,17924,-9.3
C536827,-3,2010-12-02 17:31:00,6.95,13408,-20.85
C536828,-1,2010-12-02 17:35:00,10.75,14264,-10.75
C536829,-1,2010-12-02 17:36:00,3.25,13295,-3.25
536830,2880,2010-12-02 17:38:00,0.18,16754,518.4
536831,12,2010-12-02 17:40:00,4.95,16029,59.400000000000006
536832,24,2010-12-02 17:41:00,1.25,16634,30.0
536833,6,2010-12-02 17:48:00,2.95,18239,17.700000000000003
536834,12,2010-12-02 17:51:00,2.95,14576,35.400000000000006
536835,1,2010-12-02 18:06:00,295.0,13145,295.0
536836,20,2010-12-02 18:08:00,1.25,18168,25.0
536837,2,2010-12-02 18:15:00,7.95,14395,15.9
536838,24,2010-12-02 18:23:00,0.75,14865,18.0
536839,288,2010-12-02 18:25:00,0.21,15093,60.48
536840,12,2010-12-02 18:27:00,1.45,12738,17.4
536841,8,2010-12-02 18:27:00,2.95,16150,23.6
536842,10,2010-12-02 18:45:00,1.65,17552,16.5
536843,12,2010-12-02 18:46:00,1.25,17552,15.0
536844,32,2010-12-02 18:49:00,4.95,14236,158.4
536845,1,2010-12-02 19:18:00,3.75,17961,3.75
536846,2,2010-12-02 19:59:00,1.65,14573,3.3
536847,48,2010-12-03 09:31:00,0.42,17135,20.16
536848,80,2010-12-03 09:39:00,2.55,13408,204.0
536849,19,2010-12-03 09:45:00,3.75,17396,71.25
C536850,-48,2010-12-03 09:47:00,7.65,14213,-367.20000000000005
536851,24,2010-12-03 09:49:00,3.25,12967,78.0
536852,12,2010-12-03 09:51:00,1.45,12686,17.4
C536853,-1,2010-12-03 10:07:00,2.55,14679,-2.55
C536854,-1,2010-12-03 10:09:00,2.95,15240,-2.95
C536855,-4,2010-12-03 10:11:00,7.95,18225,-31.8
536856,12,2010-12-03 10:26:00,2.1,13370,25.200000000000003
536857,5,2010-12-03 10:33:00,2.95,16883,14.75
536858,30,2010-12-03 10:36:00,2.95,13520,88.5
536859,1,2010-12-03 10:43:00,2.1,12841,2.1
536860,1,2010-12-03 10:43:00,8.5,16905,8.5
536861,6,2010-12-03 10:44:00,2.1,12427,12.600000000000001
536863,1,2010-12-03 11:19:00,0.65,17967,0.65
536874,5,2010-12-03 11:35:00,1.69,16891,8.45
536884,2,2010-12-03 11:42:00,7.95,14589,15.9
536890,36,2010-12-03 11:48:00,0.85,14156,30.599999999999998
536938,20,2010-12-03 12:05:00,1.95,14680,39.0
536943,2,2010-12-03 12:11:00,1.65,17884,3.3
536944,70,2010-12-03 12:20:00,1.65,12557,115.5
536945,1,2010-12-03 12:24:00,7.95,14083,7.95
536946,12,2010-12-03 12:28:00,1.95,13013,23.4
536947,25,2010-12-03 12:29:00,0.42,13013,10.5
536954,100,2010-12-03 12:41:00,4.25,17809,425.0
536956,6,2010-12-03 12:43:00,2.95,14210,17.700000000000003
536957,12,2010-12-03 12:43:00,4.95,17809,59.400000000000006
536960,4,2010-12-03 12:48:00,3.95,16477,15.8
536967,1,2010-12-03 12:57:00,18.0,12600,18.0
536968,48,2010-12-03 13:09:00,4.25,16013,204.0
536969,192,2010-12-03 13:10:00,2.75,16013,528.0
536970,120,2010-12-03 13:12:00,10.95,17949,1314.0
536971,32,2010-12-03 13:40:00,2.55,12779,81.6
536972,6,2010-12-03 13:42:00,1.45,16926,8.7
536973,6,2010-12-03 13:43:00,2.1,17787,12.600000000000001
536974,9,2010-12-03 13:59:00,5.95,12682,53.550000000000004
536975,1,2010-12-03 14:04:00,16.95,14911,16.95
536976,3,2010-12-03 14:18:00,0.85,14723,2.55
536977,1,2010-12-03 14:18:00,2.95,17954,2.95
C536978,-1,2010-12-03 14:19:00,9.95,17954,-9.95
C536979,-1,2010-12-03 14:23:00,3.75,17841,-3.75
536980,10,2010-12-03 14:26:00,2.1,17819,21.0
536981,1,2010-12-03 14:26:00,4.95,14723,4.95
536983,8,2010-12-03 14:30:00,1.65,12712,13.2
536984,1,2010-12-03 14:35:00,1.25,17841,1.25
536985,6,2010-12-03 14:40:00,12.75,15373,76.5
536986,8,2010-12-03 14:40:00,3.75,16140,30.0
536987,1,2010-12-03 14:54:00,1.25,17198,1.25
536988,2,2010-12-03 15:05:00,2.95,17238,5.9
536989,1,2010-12-03 15:10:00,7.95,17238,7.95
536990,6,2010-12-03 15:14:00,2.95,12793,17.700000000000003
536992,36,2010-12-03 15:16:00,2.55,15769,91.8
536993,2,2010-12-03 15:19:00,2.95,14396,5.9
536994,8,2010-12-03 15:25:00,3.75,14898,30.0
537022,12,2010-12-03 15:45:00,1.25,12725,15.0
537023,1,2010-12-03 16:02:00,16.95,16725,16.95
C537024,-36,2010-12-03 16:21:00,2.1,13941,-75.60000000000001
537026,12,2010-12-03 16:35:00,2.1,12395,25.200000000000003
537030,12,2010-12-03 16:44:00,0.85,16455,10.2
537031,24,2010-12-03 16:45:00,1.25,16455,30.0
537034,96,2010-12-03 17:20:00,1.85,13081,177.60000000000002
537035,8,2010-12-03 17:21:00,1.45,13081,11.6
537036,1,2010-12-03 17:28:00,7.95,15545,7.95
537037,8,2010-12-05 10:03:00,3.95,17243,31.6
537038,10,2010-12-05 10:12:00,6.75,15465,67.5
C537039,-1,2010-12-05 10:25:00,4.95,15708,-4.95
537040,48,2010-12-05 10:27:00,10.95,13089,525.5999999999999
537041,4,2010-12-05 10:36:00,3.75,16033,15.0
537042,12,2010-12-05 10:45:00,1.45,13838,17.4
C537043,-6,2010-12-05 10:48:00,1.95,15351,-11.7
537044,4,2010-12-05 10:52:00,4.25,18055,17.0
537045,1,2010-12-05 10:54:00,8.95,15038,8.95
537046,16,2010-12-05 10:58:00,7.65,18109,122.4
537047,5,2010-12-05 11:02:00,0.85,13069,4.25
537048,1,2010-12-05 11:03:00,2.95,13069,2.95
537049,6,2010-12-05 11:04:00,2.95,16241,17.700000000000003
537050,30,2010-12-05 11:10:00,0.21,14800,6.3
537051,6,2010-12-05 11:12:00,2.55,15708,15.299999999999999
537052,72,2010-12-05 11:15:00,1.06,16839,76.32000000000001
537053,2,2010-12-05 11:38:00,5.95,16168,11.9
537054,1,2010-12-05 11:40:00,1.25,16931,1.25
537055,2,2010-12-05 11:45:00,5.95,16814,11.9
537057,2,2010-12-05 11:49:00,2.1,15351,4.2
537058,2,2010-12-05 11:51:00,8.5,13269,17.0
537059,1,2010-12-05 11:54:00,2.55,14813,2.55
537065,8,2010-12-05 11:57:00,4.65,12567,37.2
537067,1,2010-12-05 11:57:00,5.95,14813,5.95
537077,24,2010-12-05 11:59:00,0.19,17062,4.5600000000000005
537081,12,2010-12-05 12:00:00,1.25,15332,15.0
537086,20,2010-12-05 12:01:00,3.75,15332,75.0
537090,12,2010-12-05 12:02:00,1.25,15332,15.0
537111,6,2010-12-05 12:08:00,1.65,14810,9.899999999999999
537117,48,2010-12-05 12:09:00,4.25,16353,204.0
537126,1,2010-12-05 12:13:00,1.25,18118,1.25
537127,128,2010-12-05 12:13:00,2.55,13831,326.4
537128,1,2010-12-05 12:15:00,9.95,12841,9.95
537129,12,2010-12-05 12:15:00,1.65,13506,19.799999999999997
537130,2,2010-12-05 12:23:00,4.65,17796,9.3
537131,6,2010-12-05 12:26:00,2.95,15716,17.700000000000003
537133,1,2010-12-05 12:29:00,3.75,18156,3.75
C537132,-2,2010-12-05 12:29:00,8.5,15221,-17.0
537134,12,2010-12-05 12:34:00,4.95,16983,59.400000000000006
537135,3,2010-12-05 12:35:00,2.1,17059,6.300000000000001
537136,1,2010-12-05 12:42:00,2.95,12748,2.95
537137,16,2010-12-05 12:43:00,0.85,16327,13.6
537138,6,2010-12-05 12:44:00,0.85,17211,5.1
537139,1,2010-12-05 12:47:00,12.75,17026,12.75
537140,1,2010-12-05 12:53:00,0.42,12748,0.42
537141,6,2010-12-05 12:57:00,1.25,15570,7.5
537142,1,2010-12-05 12:57:00,8.5,12748,8.5
C537143,-1,2010-12-05 12:58:00,7.95,12748,-7.95
537144,1,2010-12-05 13:00:00,16.95,15880,16.95
537153,12,2010-12-05 13:03:00,1.25,16718,15.0
537154,18,2010-12-05 13:05:00,4.65,15808,83.7
537155,1,2010-12-05 13:05:00,1.95,12748,1.95
537156,3,2010-12-05 13:08:00,4.65,17858,13.950000000000001
C537157,-24,2010-12-05 13:09:00,1.25,15880,-30.0
537158,4,2010-12-05 13:10:00,1.95,16393,7.8
537159,6,2010-12-05 13:17:00,4.95,14527,29.700000000000003
537160,1,2010-12-05 13:18:00,14.95,14161,14.95
537163,10,2010-12-05 13:21:00,1.65,17863,16.5
C537164,-1,2010-12-05 13:21:00,29.29,14527,-29.29
537176,2,2010-12-05 13:26:00,1.65,16411,3.3
537179,18,2010-12-05 13:29:00,4.95,13767,89.10000000000001
537192,2,2010-12-05 13:42:00,1.65,16402,3.3
537193,1,2010-12-05 13:49:00,9.95,15023,9.95
537194,80,2010-12-05 13:53:00,3.39,17402,271.2
537195,1,2010-12-05 13:55:00,1.25,15311,1.25
537196,1,2010-12-05 13:55:00,4.95,15426,4.95
537197,2,2010-12-05 14:02:00,6.75,12647,13.5
537198,10,2010-12-05 14:03:00,6.75,12647,67.5
537199,6,2010-12-05 14:06:00,2.95,15894,17.700000000000003
537200,3,2010-12-05 14:17:00,2.95,15867,8.850000000000001
537201,2,2010-12-05 14:19:00,7.65,12472,15.3
537202,2,2010-12-05 14:25:00,7.95,14506,15.9
C537203,-1,2010-12-05 14:44:00,9.95,14606,-9.95
537204,6,2010-12-05 14:45:00,1.25,15555,7.5
537205,12,2010-12-05 14:52:00,1.25,13034,15.0
537206,3,2010-12-05 15:02:00,4.95,15235,14.850000000000001
537207,6,2010-12-05 15:06:00,0.85,17402,5.1
537208,1,2010-12-05 15:12:00,6.35,15889,6.35
537209,1,2010-12-05 15:12:00,6.75,14606,6.75
537210,32,2010-12-05 15:15:00,2.55,15953,81.6
537211,6,2010-12-05 15:18:00,2.95,16143,17.700000000000003
537212,10,2010-12-05 15:21:00,1.95,12720,19.5
537213,1,2010-12-05 15:26:00,1.25,12748,1.25
537214,10,2010-12-05 15:35:00,1.25,16422,12.5
537215,12,2010-12-05 15:38:00,2.55,12747,30.599999999999998
537216,12,2010-12-05 15:40:00,1.65,15502,19.799999999999997
537217,4,2010-12-05 15:40:00,14.95,15502,59.8
537218,6,2010-12-05 15:46:00,2.55,12763,15.299999999999999
537219,2,2010-12-05 15:47:00,9.95,14081,19.9
537221,1,2010-12-05 15:54:00,8.5,17965,8.5
537222,1,2010-12-05 16:00:00,0.85,14404,0.85
537223,4,2010-12-05 16:10:00,4.65,13579,18.6
537224,2,2010-12-05 16:24:00,9.95,13174,19.9
537225,4,2010-12-05 16:41:00,7.95,12748,31.8
537226,6,2010-12-06 08:34:00,2.95,15987,17.700000000000003
537227,2,2010-12-06 08:42:00,8.5,17677,17.0
537228,12,2010-12-06 08:43:00,2.1,17677,25.200000000000003
537229,12,2010-12-06 08:44:00,1.45,17677,17.4
537231,4,2010-12-06 09:21:00,3.25,13652,13.0
C537232,-2,2010-12-06 09:31:00,8.5,12586,-17.0
537233,20,2010-12-06 09:37:00,1.65,17428,33.0
C537234,-20,2010-12-06 09:40:00,1.95,16161,-39.0
537235,156,2010-12-06 09:45:00,8.5,17381,1326.0
537236,4,2010-12-06 09:52:00,7.95,16858,31.8
537238,5,2010-12-06 10:03:00,0.85,16161,4.25
537239,2,2010-12-06 10:05:00,9.95,18219,19.9
537241,9,2010-12-06 10:18:00,4.95,14293,44.550000000000004
